year,month,day_of_month,day_of_week,fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,_csv_row
2024,1,6,6,2024-01-06,DL,1640.0,GEG,"Spokane, WA",Washington,SEA,"Seattle, WA",Washington,655,657.0,2.0,63.0,800.0,846.0,10.0,830,856.0,26.0,0,,0,94.0,118.0,45.0,224.0,0,0,26,0,0,95675
2024,1,6,6,2024-01-06,DL,438.0,SEA,"Seattle, WA",Washington,AUS,"Austin, TX",Texas,929,941.0,12.0,39.0,1020.0,1548.0,7.0,1533,1555.0,22.0,0,,0,239.0,249.0,203.0,1770.0,12,0,10,0,0,96881
2024,1,9,2,2024-01-09,DL,8803.0,DTW,"Detroit, MI",Michigan,IAH,"Houston, TX",Texas,700,656.0,-4.0,18.0,714.0,911.0,10.0,925,921.0,-4.0,0,,0,195.0,195.0,167.0,1075.0,0,0,0,0,0,151371
2024,1,9,2,2024-01-09,DL,8808.0,DTW,"Detroit, MI",Michigan,IAH,"Houston, TX",Texas,945,944.0,-1.0,26.0,1010.0,1208.0,9.0,1215,1217.0,2.0,0,,0,200.0,203.0,168.0,1075.0,0,0,0,0,0,151375
2024,1,11,4,2024-01-11,WN,3068.0,SJC,"San Jose, CA",California,PHX,"Phoenix, AZ",Arizona,1705,1719.0,14.0,10.0,1729.0,1953.0,8.0,1955,2001.0,6.0,0,,0,110.0,112.0,94.0,621.0,0,0,0,0,0,194773
2024,1,15,1,2024-01-15,AA,667.0,PHL,"Philadelphia, PA",Pennsylvania,PIT,"Pittsburgh, PA",Pennsylvania,1942,952.0,850.0,184.0,1250.0,1346.0,12.0,2056,1358.0,1022.0,0,,0,74.0,246.0,56.0,268.0,0,850,172,0,0,251908
2024,1,15,1,2024-01-15,DL,653.0,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1705,1655.0,-10.0,21.0,1716.0,1919.0,10.0,1920,1929.0,9.0,0,,0,260.0,279.0,248.0,1590.0,0,0,0,0,0,255569
2024,1,15,1,2024-01-15,WN,1498.0,OAK,"Oakland, CA",California,DAL,"Dallas, TX",Texas,1650,1657.0,7.0,11.0,1708.0,2202.0,60.0,2210,2302.0,52.0,0,,0,200.0,232.0,161.0,1468.0,7,0,45,0,0,263520
2024,1,15,1,2024-01-15,WN,2548.0,STL,"St. Louis, MO",Missouri,DCA,"Washington, DC",Virginia,1540,1700.0,80.0,10.0,1710.0,1940.0,169.0,1830,2229.0,239.0,0,,0,110.0,265.0,86.0,719.0,0,0,239,0,0,264608
2024,1,15,1,2024-01-15,WN,3269.0,DAL,"Dallas, TX",Texas,DCA,"Washington, DC",Virginia,1635,1721.0,46.0,10.0,1731.0,2039.0,171.0,2015,2330.0,195.0,0,,0,160.0,304.0,123.0,1184.0,0,0,168,0,27,265214
2024,1,15,1,2024-01-15,WN,4611.0,MCI,"Kansas City, MO",Missouri,DCA,"Washington, DC",Virginia,1235,1736.0,301.0,29.0,1805.0,2052.0,258.0,1550,110.0,560.0,0,,0,135.0,392.0,105.0,949.0,281,0,259,0,20,266089
2024,1,16,2,2024-01-16,WN,1934.0,LAS,"Las Vegas, NV",Nevada,IND,"Indianapolis, IN",Indiana,1735,1736.0,1.0,11.0,1747.0,2351.0,153.0,5,224.0,139.0,0,,0,210.0,329.0,165.0,1590.0,0,0,139,0,0,280851
2024,1,16,2,2024-01-16,WN,2407.0,AUS,"Austin, TX",Texas,DAL,"Dallas, TX",Texas,2050,2143.0,53.0,6.0,2149.0,2236.0,6.0,2150,2242.0,52.0,0,,0,60.0,51.0,39.0,189.0,51,0,0,0,1,281333
2024,1,18,4,2024-01-18,DL,653.0,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1705,1705.0,0.0,19.0,1724.0,1922.0,11.0,1920,1933.0,13.0,0,,0,260.0,273.0,243.0,1590.0,0,0,0,0,0,307663
2024,1,19,5,2024-01-19,DL,653.0,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1705,1721.0,16.0,12.0,1733.0,1924.0,5.0,1920,1929.0,9.0,0,,0,260.0,253.0,236.0,1590.0,0,0,0,0,0,326338
2024,1,21,7,2024-01-21,DL,653.0,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1705,1751.0,46.0,8.0,1759.0,1942.0,6.0,1920,1948.0,28.0,0,,0,260.0,242.0,228.0,1590.0,28,0,0,0,0,360487
2024,1,21,7,2024-01-21,WN,858.0,HOU,"Houston, TX",Texas,SAN,"San Diego, CA",California,2155,2207.0,12.0,10.0,2217.0,2317.0,14.0,2325,2331.0,6.0,0,,0,210.0,194.0,170.0,1313.0,0,0,0,0,0,371502
2024,1,22,1,2024-01-22,DL,1552.0,SLC,"Salt Lake City, UT",Utah,GEG,"Spokane, WA",Washington,2112,2111.0,-1.0,14.0,2125.0,2142.0,4.0,2205,2146.0,-19.0,0,,0,110.0,92.0,74.0,546.0,0,0,0,0,0,377512
2024,1,22,1,2024-01-22,DL,653.0,ATL,"Atlanta, GA",Georgia,SLC,"Salt Lake City, UT",Utah,1705,1713.0,8.0,10.0,1723.0,1850.0,4.0,1920,1854.0,-26.0,0,,0,260.0,226.0,212.0,1590.0,0,0,0,0,0,379074
2024,1,23,2,2024-01-23,DL,1562.0,SLC,"Salt Lake City, UT",Utah,SMF,"Sacramento, CA",California,800,751.0,-9.0,13.0,804.0,819.0,2.0,855,821.0,-34.0,0,,0,110.0,85.0,70.0,532.0,0,0,0,0,0,395539
2024,1,23,2,2024-01-23,DL,2688.0,LGA,"New York, NY",New York,ORD,"Chicago, IL",Illinois,600,546.0,-14.0,16.0,602.0,659.0,13.0,740,712.0,-28.0,0,,0,155.0,141.0,112.0,733.0,0,0,0,0,0,396481
