column,null_count,null_percentage
cancellation_code,6982766,98.6394
actual_elapsed_time,113814,1.6078
arr_delay,113814,1.6078
air_time,113814,1.6078
wheels_on,97856,1.3823
taxi_in,97856,1.3823
arr_time,97854,1.3823
wheels_off,95734,1.3524
taxi_out,95734,1.3524
dep_delay,92970,1.3133
dep_time,92659,1.3089
op_carrier_fl_num,1,0.0
crs_elapsed_time,1,0.0
year,0,0.0
month,0,0.0
day_of_month,0,0.0
dest,0,0.0
fl_date,0,0.0
day_of_week,0,0.0
dest_state_nm,0,0.0
dest_city_name,0,0.0
crs_dep_time,0,0.0
op_unique_carrier,0,0.0
origin,0,0.0
origin_city_name,0,0.0
origin_state_nm,0,0.0
crs_arr_time,0,0.0
diverted,0,0.0
cancelled,0,0.0
distance,0,0.0
carrier_delay,0,0.0
weather_delay,0,0.0
nas_delay,0,0.0
security_delay,0,0.0
late_aircraft_delay,0,0.0
